wormbaseID	publicID	sequenceID	OscAmplitude	PeakPhase	Class
WBGene00000002	aat-1	F27C8.1	0.688755382	277.7990058	Osc
WBGene00000003	aat-2	F07C3.7	0.863505874	123.3386649	Osc
WBGene00000005	aat-4	T13A10.10	1.41604458	276.3011494	Osc
WBGene00000006	aat-5	C55C2.5	0.552256419	127.1005967	Osc
WBGene00000008	aat-7	F54D12.3	1.140960856	163.935694	Osc
WBGene00000009	aat-8	F28F9.4	1.058158742	316.2302785	Osc
WBGene00000013	abf-2	C50F2.10	1.54464577	301.83057	Osc
WBGene00000015	abf-4	Y38H6C.22	0.834813583	96.4979436	Osc
WBGene00000016	abf-5	T22H6.5	2.517522536	153.3530118	Osc
WBGene00000017	abf-6	T22H6.7	2.629194165	153.180218	Osc
WBGene00000020	abt-2	F12B6.1	0.563542492	162.8807832	Osc
WBGene00000022	abt-4	Y39D8C.1	1.053317833	95.55939885	Osc
WBGene00000024	abu-1	AC3.3	1.215882489	49.32624184	Osc
WBGene00000027	abu-4	Y5H2A.3	1.172099411	37.096714	Osc
WBGene00000029	abu-6	C03A7.7	1.666253394	51.44601767	Osc
WBGene00000030	abu-7	C03A7.8	2.621833745	54.63136959	Osc
WBGene00000031	abu-8	C03A7.14	3.964394419	58.12896962	Osc
WBGene00000033	abu-10	F35A5.3	3.875881133	60.08934657	Osc
WBGene00000034	abu-11	T01D1.6	3.946687475	38.48555583	Osc
WBGene00000035	ace-1	W09B12.1	0.594467081	75.68940271	Osc
WBGene00000038	ace-4	Y48B6A.7	1.457713863	150.1671762	Osc
WBGene00000039	acn-1	C42D8.5	2.536416549	262.9285472	Osc
WBGene00000040	aco-1	ZK455.1	0.53524911	208.5531565	Osc
WBGene00000051	acr-12	R01E6.4	0.55271547	107.323967	Osc
WBGene00000061	lgc-11	F48E3.7	1.891353551	118.9047174	Osc
WBGene00000068	acy-1	F17C8.1	0.631237105	106.8980991	Osc
WBGene00000082	adt-1	C02B4.1	3.239277648	0.07679821	Osc
WBGene00000083	adt-2	F08C6.1	1.053962958	191.9152305	Osc
WBGene00000084	aex-1	D2030.10	0.767073442	115.616905	Osc
WBGene00000098	air-1	K07C11.2	0.575662218	302.2641043	Osc
WBGene00000102	akt-1	C12D8.10	0.526888487	301.2213543	Osc
WBGene00000109	alh-3	F36H1.6	0.566347086	255.3210719	Osc
WBGene00000112	alh-6	F56D12.1	0.516146632	161.489595	Osc
WBGene00000115	alh-9	F01F1.6	0.783380149	160.6746965	Osc
WBGene00000133	amt-1	C05E11.4	2.068142846	137.8705285	Osc
WBGene00000136	amt-4	C05E11.5	1.583583931	220.913958	Osc
WBGene00000138	amx-2	B0019.1	1.362749609	80.48036059	Osc
WBGene00000174	aqp-6	C32C4.2	0.615840864	21.12231115	Osc
WBGene00000175	aqp-7	M02F4.8	0.729893811	156.0904331	Osc
WBGene00000176	aqp-8	K02G10.7	1.474795654	149.3029065	Osc
WBGene00000183	arf-3	F57H12.1	0.526746935	281.4581354	Osc
WBGene00000190	arf-1.1	F45E4.1	1.127352402	119.003261	Osc
WBGene00000220	atf-2	K08F8.2	2.927261661	260.5395248	Osc
WBGene00000225	atgp-2	C38C6.2	0.96422136	158.3403157	Osc
WBGene00000233	avr-15	R11G10.1	1.116868741	115.9508354	Osc
WBGene00000245	bca-1	T13C5.5	0.544635679	123.6172516	Osc
WBGene00000246	bcc-1	M7.3	1.501965857	156.2076477	Osc
WBGene00000251	bli-1	C09G5.6	0.919118019	232.292354	Osc
WBGene00000252	bli-2	F59E12.12	2.185809969	262.3738617	Osc
WBGene00000255	bli-5	F45G2.5	1.908744214	0.440970775	Osc
WBGene00000268	bre-3	B0464.4	0.57624677	88.37389017	Osc
WBGene00000272	bro-1	F56A3.5	1.55745629	220.0034257	Osc
WBGene00000273	brp-1	Y79H2A.1	0.576956784	121.6972995	Osc
WBGene00000281	cah-3	K05G3.3	0.533363497	156.9048371	Osc
WBGene00000282	cah-4	R01E6.3	0.532038061	163.2110025	Osc
WBGene00000287	cal-3	M02B7.6	1.220757091	196.0515667	Osc
WBGene00000302	cav-2	C56A3.7	0.788671688	117.1254178	Osc
WBGene00000373	cyp-14A5	F08F3.7	2.101216442	101.0124397	Osc
WBGene00000376	ccr-4	ZC518.3	0.641119478	337.3571337	Osc
