Osc_Latorre2015	wormbaseID
4R79.1	WBGene00003525
4R79.2	WBGene00007067
AC3.10	WBGene00004964
AC3.3	WBGene00000024
AC3.4	WBGene00004098
AC3.5	WBGene00007071
AC3.7	WBGene00007072
AC3.8	WBGene00007073
B0019.1	WBGene00000138
B0024.1	WBGene00000722
B0024.14	WBGene00007103
B0024.15	WBGene00007104
B0024.2	WBGene00000723
B0024.4	WBGene00007097
B0034.1	WBGene00015002
B0034.4	WBGene00015004
B0034.7	WBGene00044394
B0035.10	WBGene00001919
B0035.7	WBGene00001921
B0035.8	WBGene00001922
B0035.9	WBGene00001920
B0205.4	WBGene00015019
B0212.1	WBGene00015035
B0213.10	WBGene00015040
B0213.14	WBGene00015043
B0213.2	WBGene00003765
B0213.3	WBGene00003766
B0213.5	WBGene00003768
B0213.6	WBGene00003769
B0213.7	WBGene00006142
B0218.2	WBGene00015048
B0222.11	WBGene00044582
B0222.3	WBGene00015055
B0222.5	WBGene00015056
B0222.6	WBGene00000717
B0222.8	WBGene00000599
B0228.1	WBGene00015059
B0238.12	WBGene00015076
B0240.1	WBGene00004359
B0240.3	WBGene00000907
B0244.10	WBGene00015085
B0244.7	WBGene00015082
B0280.7	WBGene00015103
B0285.5	WBGene00002003
B0286.2	WBGene00002252
B0286.3	WBGene00015116
B0302.1	WBGene00002207
B0304.3	WBGene00015135
B0310.2	WBGene00015138
B0310.3	WBGene00015139
B0310.6	WBGene00015142
B0331.1	WBGene00007140
B0331.2	WBGene00007141
B0334.1	WBGene00007142
B0334.13	WBGene00007149
B0334.2	WBGene00006660
B0334.6	WBGene00007146
B0344.2	WBGene00006955
B0348.5	WBGene00015153
B0361.9	WBGene00015163
B0365.1	WBGene00007150
B0365.5	WBGene00007152
B0393.5	WBGene00007170
B0395.1	WBGene00003729
B0395.2	WBGene00007174
B0399.2	WBGene00007177
B0403.5	WBGene00015169
B0412.1	WBGene00000895
B0416.7	WBGene00015182
B0454.5	WBGene00015196
B0454.8	WBGene00015199
B0457.2	WBGene00007178
B0462.4	WBGene00007183
B0491.2	WBGene00005016
B0496.7	WBGene00015216
B0507.1	WBGene00015218
B0507.10	WBGene00015227
B0507.3	WBGene00015220
B0511.1	WBGene00001432
B0513.9	WBGene00007200
B0545.1	WBGene00006599
B0554.4	WBGene00015257
B0554.5	WBGene00015258
B0563.5	WBGene00015262
B0564.3	WBGene00007203
B0564.6	WBGene00007206
B0564.9	WBGene00007208
BE0003N10.3	WBGene00015268
BE10.2	WBGene00007210
C01A2.2	WBGene00007214
C01B10.11	WBGene00044294
C01B10.5	WBGene00001858
C01B12.1	WBGene00005017
C01B12.4	WBGene00015287
C01B4.6	WBGene00015270
C01B9.1	WBGene00007220
C01C10.1	WBGene00000523
C01C10.2	WBGene00015294
C01C10.3	WBGene00015295
C01C10.4	WBGene00000526
C01F1.3	WBGene00015298
C01F1.5	WBGene00015300
C01G10.15	WBGene00007240
C01G10.16	WBGene00007241
C01G10.17	WBGene00044658
C01G10.4	WBGene00007231
C01G10.5	WBGene00007232
C01G10.6	WBGene00007233
C01G12.1	WBGene00007242
C01G12.10	WBGene00007250
C01G12.11	WBGene00007251
C01G12.2	WBGene00007243
C01G12.3	WBGene00007244
C01G12.6	WBGene00007246
C01G6.9	WBGene00007229
C01H6.1	WBGene00000637
C01H6.2	WBGene00007252
C01H6.3	WBGene00007253
C01H6.5	WBGene00003622
C01H6.6	WBGene00007255
C01H6.8	WBGene00007257
C02B10.5	WBGene00015330
C02B4.1	WBGene00000082
C02B8.5	WBGene00015323
C02C2.1	WBGene00015332
C02C2.4	WBGene00015333
C02D4.1	WBGene00007262
C02D5.1	WBGene00015335
C02D5.2	WBGene00015336
C02E7.6	WBGene00015339
C02E7.7	WBGene00015340
C02F12.4	WBGene00006431
